h | pin depth (bits) w2, w3, w4 | fresh bits pinned this level
 6 |  6,  1,  0 | +6, +1, +0  (total +7)
 7 |  8,  4,  0 | +2, +3, +0  (total +5)
 8 |  8,  8,  2 | +0, +4, +2  (total +6)
 9 | 10,  8,  6 | +2, +0, +4  (total +6)
10 | 14,  8,  8 | +4, +0, +2  (total +6)
11 | 16, 12,  8 | +2, +4, +0  (total +6)
12 | 17, 15, 10 | +1, +3, +2  (total +6)
13 | 19, 16, 13 | +2, +1, +3  (total +6)
14 | 22, 17, 15 | +3, +1, +2  (total +6)
15 | 24, 20, 16 | +2, +3, +1  (total +6)
16 | 24, 24, 18 | +0, +4, +2  (total +6)

LEDGER DISJOINTNESS (pin depths never retreat -> no bit spent twice): True
